Loan_ID,Channel,Seller,Interest_Rate,UPB,Loan_Term,Origination_Date,First_Payment_Date,LTV,CLTV,Num_Borrowers,DTI,Borrower_FICO,First_Time_Buyer,Loan_Purpose,Dwelling_Type,Unit_Count,Occupancy,State,Zip,Insurance%,Product,Mortgage_Insurance_Type,Relocation_Indicator,Period,Current_IR,Current_UPB,Age,Mod_Ind,Zero_Bal_Cd,FICO_bins,Term_bins,Current_Status,Origin_Month,Origin_Year
571724985807,R,OTHER,5.625,152000,360,07/2003,09/2003,95,95.0,1.0,31.0,790.0,N,P,CO,1,S,PR,6,30.0,FRM,1.0,N,200905,5.625,139021.33,69,N,Prepaid,780+,<= 30 Years,Prepaid,09,2003
449372773604,R,OTHER,5.5,101000,300,07/2003,09/2003,78,78.0,1.0,35.0,724.0,N,C,CO,1,P,PR,9,0.0,FRM,0.0,N,200808,5.5,1030.92,60,N,Prepaid,700-740,<= 30 Years,Prepaid,09,2003
707922538167,R,OTHER,4.625,150000,180,09/2003,11/2003,38,38.0,1.0,20.0,798.0,N,R,CO,1,P,CA,917,0.0,FRM,0.0,N,201010,4.625,77671.19,84,N,Prepaid,780+,<=15 Years,Prepaid,11,2003
399420778435,R,OTHER,5.375,143000,360,08/2003,10/2003,95,95.0,1.0,28.0,749.0,N,P,CO,1,P,PR,9,25.0,FRM,1.0,N,200506,5.375,138992.22,21,N,Prepaid,740-780,<= 30 Years,Prepaid,10,2003
853031052373,R,OTHER,6.25,80000,360,09/2003,11/2003,62,62.0,1.0,47.0,694.0,N,P,CO,1,P,PR,9,0.0,FRM,0.0,N,201001,6.25,73126.87,75,N,Prepaid,660-700,<= 30 Years,Prepaid,11,2003
717328007486,R,OTHER,5.625,208000,360,08/2003,10/2003,80,80.0,1.0,23.0,709.0,N,P,CO,1,P,PR,9,0.0,FRM,0.0,N,201306,5.625,157069.66,117,N,Prepaid,700-740,<= 30 Years,Prepaid,10,2003
333249122054,R,OTHER,6.0,96000,360,10/2003,12/2003,56,56.0,1.0,64.0,740.0,N,P,CO,1,P,PR,9,0.0,FRM,0.0,N,201906,6.0,66162.9,187,N,Current,700-740,<= 30 Years,Current,12,2003
474486394385,B,"JPMORGAN CHASE BANK, NA",5.75,242000,360,05/2003,07/2003,94,95.0,3.0,11.0,732.0,N,P,CO,1,P,CO,803,30.0,FRM,1.0,N,201111,5.75,209856.67,101,N,Prepaid,700-740,<= 30 Years,Prepaid,07,2003
632810836376,R,OTHER,5.875,142000,360,07/2003,09/2003,89,89.0,1.0,46.0,773.0,N,R,CO,1,P,MA,18,25.0,FRM,1.0,N,201208,5.875,120106.12,108,N,Prepaid,740-780,<= 30 Years,Prepaid,09,2003
573489181231,R,OTHER,6.0,137000,360,11/2002,01/2003,46,46.0,1.0,29.0,779.0,N,C,CO,1,P,CA,913,0.0,FRM,0.0,N,201906,6.0,88898.37,198,N,Current,740-780,<= 30 Years,Current,01,2003
609912677189,R,OTHER,6.25,60000,360,05/2003,08/2003,50,50.0,1.0,23.0,799.0,N,C,CO,1,P,CO,802,0.0,FRM,0.0,N,201406,6.25,49343.75,131,N,Prepaid,780+,<= 30 Years,Prepaid,08,2003
566990108504,R,OTHER,4.25,323000,180,09/2003,10/2003,32,32.0,1.0,38.0,820.0,N,R,CO,1,P,CA,926,0.0,FRM,0.0,N,201201,4.25,136600.8,100,N,Prepaid,780+,<=15 Years,Prepaid,10,2003
642656459651,R,OTHER,4.875,60000,180,08/2003,10/2003,38,38.0,1.0,28.0,775.0,N,R,CO,1,P,MD,208,0.0,FRM,0.0,N,201006,4.875,28173.84,81,N,Prepaid,740-780,<=15 Years,Prepaid,10,2003
340634802847,R,OTHER,6.0,77000,240,06/2003,08/2003,73,73.0,1.0,33.0,659.0,N,C,CO,1,I,PR,7,0.0,FRM,0.0,N,201001,6.0,57457.87,78,N,Prepaid,620-660,<= 30 Years,Prepaid,08,2003
125399588793,R,OTHER,6.0,57000,360,11/2002,02/2003,64,64.0,1.0,35.0,737.0,N,R,CO,1,P,NC,275,0.0,FRM,0.0,N,201904,6.0,38070.07,195,N,Prepaid,700-740,<= 30 Years,Prepaid,02,2003
925608540682,R,OTHER,5.625,114000,360,09/2003,11/2003,80,95.0,1.0,36.0,797.0,Y,P,CO,1,P,WA,980,0.0,FRM,0.0,N,201012,5.625,101629.33,86,N,Prepaid,780+,<= 30 Years,Prepaid,11,2003
708585228495,B,"CITIMORTGAGE, INC.",5.125,105000,180,09/2003,12/2003,70,70.0,2.0,40.0,797.0,N,C,CO,1,P,WA,981,0.0,FRM,0.0,N,201809,5.125,1535.4,178,N,Prepaid,780+,<=15 Years,Prepaid,12,2003
453696051943,C,"JPMORGAN CHASE BANK, NA",5.875,100000,360,10/2003,12/2003,59,59.0,2.0,22.0,714.0,N,P,CO,1,P,MD,208,0.0,FRM,0.0,N,200505,5.875,98197.16,18,N,Prepaid,700-740,<= 30 Years,Prepaid,12,2003
219866508788,R,OTHER,5.875,67000,180,12/2002,02/2003,44,44.0,1.0,28.0,789.0,N,C,CO,1,P,NH,31,0.0,FRM,0.0,N,200503,5.875,60823.58,26,N,Prepaid,780+,<=15 Years,Prepaid,02,2003
900268833945,C,"BANK OF AMERICA, N.A.",5.625,86000,360,07/2003,09/2003,80,80.0,1.0,37.0,628.0,Y,P,CP,1,P,NY,114,0.0,FRM,0.0,N,201609,5.625,50931.27,157,N,Prepaid,620-660,<= 30 Years,Prepaid,09,2003
800368565085,R,OTHER,5.875,156000,360,10/2003,12/2003,75,75.0,2.0,41.0,623.0,Y,P,CP,1,P,NY,100,0.0,FRM,0.0,N,201906,5.875,98274.22,187,N,Current,620-660,<= 30 Years,Current,12,2003
447393779144,B,"CITIMORTGAGE, INC.",6.0,213000,360,04/2003,06/2003,80,90.0,1.0,36.0,609.0,Y,P,CP,1,P,NY,100,0.0,FRM,0.0,N,201202,6.0,181520.3,105,N,Prepaid,0-620,<= 30 Years,Prepaid,06,2003
270899741976,R,"CITIMORTGAGE, INC.",5.25,323000,360,09/2003,12/2003,56,56.0,2.0,40.0,786.0,N,C,CP,1,P,NY,100,0.0,FRM,0.0,N,200906,5.25,294448.83,67,N,Prepaid,780+,<= 30 Years,Prepaid,12,2003
