,Channel,Seller,Loan_Term,LTV,CLTV,Num_Borrowers,DTI,Borrower_FICO,First_Time_Buyer,Loan_Purpose,Dwelling_Type,Unit_Count,Occupancy,State,Insurance%,Mortgage_Insurance_Type,Relocation_Indicator,Current_IR,Current_UPB,Mod_Ind,Term_bins,Current_Status,Origin_Month,Origin_Year,Months_Between_First_Payment_And_Origin_Date
0,2,31,360,95,95,1,36,746,0,1,4,1,1,45,30,1,0,5.125,76987.7,0,30,1,5,2003,2
1,2,31,180,75,75,2,59,740,0,2,4,2,1,20,0,0,0,5.25,570.81,0,15,1,7,2003,2
2,2,10,180,78,78,2,31,604,0,0,4,1,1,35,0,0,0,5.375,555.64,0,15,1,12,2003,2
3,2,31,180,17,17,2,11,758,0,0,4,1,1,41,0,0,0,5.125,1000.07,0,15,1,7,2003,2
4,1,3,360,80,80,2,20,779,0,1,4,1,1,25,0,0,0,5.25,35290.05,0,30,1,7,2003,2
5,0,19,360,60,60,2,46,788,0,1,0,1,1,20,0,0,0,6.375,90248.78,0,30,1,11,2003,2
6,1,3,360,67,67,2,26,666,0,0,4,1,1,4,0,0,0,5.5,265570.12,0,30,1,9,2003,2
7,2,31,180,37,37,2,38,721,0,0,4,1,1,4,0,0,0,4.5,46368.5,0,15,1,11,2003,2
8,2,31,360,64,64,1,27,654,0,0,4,2,1,20,0,0,0,6.25,150450.41,0,30,1,12,2003,2
9,2,31,360,55,55,2,21,628,0,0,0,1,1,20,0,0,0,5.375,136445.33,0,30,1,9,2003,2
10,2,31,180,29,29,2,23,803,0,2,4,1,1,36,0,0,0,5.375,65000.0,0,15,1,3,2003,2
11,2,31,180,50,63,1,62,653,0,2,4,1,1,4,0,0,0,5.25,48289.19,0,15,1,11,2003,2
12,2,31,120,40,40,1,22,787,0,2,4,1,1,31,0,0,0,5.875,4015.76,0,15,1,1,2003,2
13,2,31,240,26,26,1,22,710,0,0,4,1,2,40,0,0,0,5.75,26606.73,0,30,0,10,2003,2
14,2,31,360,14,14,2,41,784,0,2,3,1,1,5,0,0,0,6.0,52000.0,0,30,1,11,2003,2
15,2,31,180,42,42,1,25,778,0,0,4,1,1,31,0,0,0,5.375,48973.36,0,15,1,4,2003,1
16,2,31,360,47,90,2,14,775,0,0,3,1,1,28,0,0,0,6.0,76408.91,0,30,1,2,2003,3
17,2,31,144,59,59,2,9,652,0,0,4,1,1,39,0,0,0,5.375,98769.17,0,15,1,6,2003,2
18,2,31,360,78,78,2,14,790,0,0,4,1,1,40,0,0,0,5.375,140000.0,0,30,1,10,2003,2
19,2,19,180,69,69,1,46,782,0,2,4,1,1,35,0,0,0,5.375,99382.59,0,15,1,11,2003,2
20,2,31,180,62,62,1,15,607,0,2,4,1,1,36,0,0,0,5.375,46000.0,0,15,1,12,2003,2
21,2,31,162,27,27,2,9,786,0,2,4,1,1,9,0,0,0,4.9,245705.71,0,15,1,8,2003,2
22,2,31,360,31,31,1,23,801,0,2,4,1,1,15,0,0,0,5.75,79558.9,0,30,1,6,2003,2
23,2,31,180,28,28,1,56,781,0,2,0,1,2,31,0,0,0,5.875,959.87,0,15,1,3,2003,1
24,2,31,180,39,39,2,55,597,0,0,4,1,1,20,0,0,0,5.125,63644.44,0,15,1,6,2003,2
25,2,41,360,68,68,2,26,540,0,2,3,1,2,42,0,0,0,5.5,198842.96,0,30,2,7,2003,2
26,2,10,180,62,62,2,13,772,0,0,4,1,0,25,0,0,0,5.875,99120.91,0,15,1,7,2003,2
27,0,41,360,51,51,1,32,802,0,2,4,1,1,9,0,0,0,5.75,62444.31,0,30,1,12,2003,2
28,1,31,120,46,46,2,9,781,0,0,4,1,1,21,0,0,0,4.25,6625.0,0,15,1,9,2003,2
29,2,31,180,62,62,2,56,686,0,0,4,1,1,24,0,0,0,5.375,75106.85,0,15,1,2,2003,2
30,2,31,146,73,73,2,19,781,0,2,4,1,1,36,0,0,0,4.9,1308.92,0,15,1,8,2003,2
31,2,31,360,75,75,2,25,727,0,0,4,1,1,4,0,0,0,6.0,62594.56,0,30,1,4,2003,2
32,2,31,360,79,79,2,39,731,0,0,4,1,1,40,0,0,0,5.875,59934.04,0,30,1,11,2003,2
33,2,31,180,69,69,2,28,716,0,2,4,1,1,24,0,0,0,5.375,63145.97,0,15,1,5,2003,2
34,2,25,166,49,49,2,25,723,0,1,4,1,1,50,0,0,0,6.0,224302.99,0,15,1,3,2003,1
35,2,31,180,36,36,2,50,752,0,1,4,1,1,41,0,0,0,5.25,71593.85,0,15,1,12,2003,2
36,2,31,353,68,68,2,39,806,0,0,3,1,1,28,0,0,0,6.0,149258.8,0,30,1,2,2003,2
37,2,31,360,80,80,1,46,782,0,1,4,1,0,4,0,0,0,5.625,127178.31,0,30,1,4,2003,1
38,1,4,240,83,83,2,28,775,0,0,4,1,1,16,6,1,0,5.75,20964.87,0,30,0,9,2003,2
39,2,31,180,66,66,2,59,767,0,0,3,1,1,5,0,0,0,5.25,188000.0,0,15,1,1,2003,3
40,2,31,360,90,90,1,51,592,0,2,3,1,1,28,25,1,0,6.0,63087.27,0,30,0,5,2003,2
41,2,31,180,69,69,2,18,795,0,2,4,1,1,24,0,0,0,5.375,2037.52,0,15,1,4,2003,1
42,1,31,360,80,80,2,18,755,0,1,4,1,1,28,0,0,0,5.75,170000.0,0,30,1,6,2003,2
43,2,31,342,77,77,2,43,731,0,0,4,1,1,4,0,0,0,5.25,239844.33,0,30,1,7,2003,2
44,2,31,180,40,40,2,25,684,0,0,4,1,1,9,0,0,0,4.875,363.55,0,15,1,11,2003,2
